Customer_ID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Cluster,Segment
AA-10315,185,5,5563.56,2,2,5,225,1,Loyal
AA-10375,20,9,1056.39,5,5,2,552,0,High Value
AA-10480,260,4,1790.5120000000002,1,1,3,113,1,Loyal
AA-10645,56,6,5086.935,3,3,5,335,0,High Value
AB-10015,416,3,886.156,1,1,1,111,3,Regular
AB-10060,55,8,7755.62,3,4,5,345,2,At Risk
AB-10105,42,10,14473.570999999998,4,5,5,455,2,At Risk
AB-10150,42,5,966.71,4,2,2,422,1,Loyal
AB-10165,26,8,1113.838,5,4,2,542,0,High Value
AB-10255,167,9,914.532,2,5,1,251,0,High Value
AB-10600,51,4,1515.862,4,1,2,412,1,Loyal
AC-10420,233,3,925.8,1,1,1,111,1,Loyal
AC-10450,12,7,5527.846,5,3,5,535,0,High Value
AC-10615,7,5,2537.686,5,2,3,523,1,Loyal
AC-10660,283,5,657.316,1,2,1,121,1,Loyal
AD-10180,30,8,6106.88,4,4,5,445,0,High Value
AF-10870,42,7,2052.908,4,3,3,433,0,High Value
AF-10885,416,4,861.565,1,1,1,111,3,Regular
AG-10270,279,5,2582.898,1,2,3,123,1,Loyal
AG-10300,119,4,367.548,2,1,1,211,1,Loyal
AG-10330,9,5,660.972,5,2,1,521,1,Loyal
AG-10390,115,5,200.945,2,2,1,221,1,Loyal
AG-10495,79,8,2356.855,3,4,3,343,0,High Value
AG-10525,846,4,1455.038,1,1,2,112,3,Regular
AG-10675,98,7,3489.0396000000005,3,3,4,334,0,High Value
AG-10765,78,4,170.584,3,1,1,311,1,Loyal
AG-10900,97,10,4510.797,3,5,5,355,0,High Value
AH-10030,13,7,1744.7,5,3,3,533,0,High Value
AH-10075,35,10,3250.337,4,5,4,454,0,High Value
AH-10120,61,7,1735.514,3,3,2,332,0,High Value
AH-10195,56,4,1587.452,3,1,2,312,1,Loyal
AH-10210,7,9,4805.344,5,5,5,555,0,High Value
AH-10465,231,5,2495.3916,1,2,3,123,1,Loyal
AH-10585,22,4,738.504,5,1,1,511,1,Loyal
AH-10690,411,12,7888.294,1,5,5,155,2,At Risk
AI-10855,14,10,4375.786,5,5,5,555,0,High Value
AJ-10780,76,7,4867.344,3,3,5,335,0,High Value
AJ-10795,167,7,4501.391,2,3,5,235,0,High Value
AJ-10945,86,7,1839.24,3,3,3,333,0,High Value
AJ-10960,75,3,629.2479999999999,3,1,1,311,1,Loyal
AM-10360,29,5,814.012,4,2,1,421,1,Loyal
AM-10705,163,8,5664.022,2,4,5,245,0,High Value
AO-10810,502,1,161.28,1,1,1,111,3,Regular
AP-10720,42,8,1638.554,4,4,2,442,0,High Value
AP-10915,99,10,3323.556,3,5,4,354,0,High Value
AR-10345,112,4,1055.694,2,1,2,212,1,Loyal
AR-10405,126,5,2236.128,2,2,3,223,1,Loyal
AR-10510,15,5,264.86400000000003,5,2,1,521,1,Loyal
AR-10540,7,6,6608.448,5,3,5,535,2,At Risk
AR-10570,535,1,88.15,1,1,1,111,3,Regular
AR-10825,59,8,4523.336,3,4,5,345,0,High Value
AS-10045,89,7,3050.692,3,3,4,334,0,High Value
AS-10090,29,9,3255.31,4,5,4,454,0,High Value
AS-10135,42,2,58.82,4,1,1,411,1,Loyal
AS-10225,23,5,4260.784,5,2,4,524,1,Loyal
AS-10240,193,7,584.6080000000001,2,3,1,231,1,Loyal
AS-10285,20,6,3214.236,5,3,4,534,1,Loyal
AS-10630,93,7,833.398,3,3,1,331,1,Loyal
AT-10435,22,6,1171.814,5,3,2,532,1,Loyal
AT-10735,14,10,3831.864,5,5,4,554,0,High Value
AW-10840,21,4,649.376,5,1,1,511,1,Loyal
AW-10930,47,7,2852.968,4,3,4,434,0,High Value
AY-10555,15,4,497.014,5,1,1,511,1,Loyal
AZ-10750,161,6,1622.0179999999998,2,3,2,232,1,Loyal
BB-10990,106,5,744.3399999999999,2,2,1,221,1,Loyal
BB-11545,29,9,6765.728,4,5,5,455,2,At Risk
BC-11125,203,9,2933.676,2,5,4,254,0,High Value
BD-11320,34,12,5718.521,4,5,5,455,0,High Value
BD-11500,36,6,4411.243,4,3,5,435,0,High Value
BD-11560,279,2,320.54,1,1,1,111,1,Loyal
BD-11605,98,7,3288.471,3,3,4,334,0,High Value
BD-11620,70,6,1538.11,3,3,2,332,1,Loyal
BD-11635,10,3,582.646,5,1,1,511,1,Loyal
BD-11725,94,6,1526.5,3,3,2,332,1,Loyal
BD-11770,328,6,658.466,1,3,1,131,1,Loyal
BE-11335,120,5,4204.676,2,2,4,224,1,Loyal
BE-11410,99,5,2261.438,3,2,3,323,1,Loyal
BE-11455,255,6,1727.652,1,3,2,132,1,Loyal
BF-10975,92,7,599.798,3,3,1,331,1,Loyal
BF-11005,40,4,1333.88,4,1,2,412,1,Loyal
BF-11020,75,8,2888.506,3,4,4,344,0,High Value
BF-11080,26,3,272.95,5,1,1,511,1,Loyal
BF-11170,17,11,5907.972,5,5,5,555,0,High Value
BF-11215,66,4,1585.162,3,1,2,312,1,Loyal
BF-11275,58,3,791.9899999999999,3,1,1,311,1,Loyal
BG-11035,29,8,2798.948,4,4,4,444,0,High Value
BG-11695,37,6,1874.172,4,3,3,433,1,Loyal
BG-11740,58,6,1006.356,3,3,2,332,1,Loyal
BH-11710,24,8,6255.351,5,4,5,545,0,High Value
BK-11260,78,6,659.1379999999999,3,3,1,331,1,Loyal
BM-11140,308,4,11789.63,1,1,5,115,2,At Risk
BM-11575,101,6,808.162,3,3,1,331,1,Loyal
BM-11650,34,11,7294.185,4,5,5,455,2,At Risk
BM-11785,219,10,1338.842,2,5,2,252,0,High Value
BN-11470,25,4,265.296,5,1,1,511,1,Loyal
BN-11515,10,5,1459.344,5,2,2,522,1,Loyal
BO-11350,138,5,2682.728,2,2,3,223,1,Loyal
BO-11425,76,2,130.83,3,1,1,311,1,Loyal
BP-11050,84,5,983.42,3,2,2,322,1,Loyal
BP-11095,18,12,2442.044,5,5,3,553,0,High Value
BP-11155,90,6,1697.861,3,3,2,332,1,Loyal
BP-11185,2,9,3675.861,5,5,4,554,0,High Value
BP-11230,40,5,1181.49,4,2,2,422,1,Loyal
BP-11290,13,7,2475.157,5,3,3,533,0,High Value
BS-11365,559,5,10501.653,1,2,5,125,2,At Risk
BS-11380,29,5,3887.834,4,2,4,424,1,Loyal
BS-11590,36,6,2454.928,4,3,3,433,1,Loyal
BS-11665,583,3,3288.11,1,1,4,114,3,Regular
BS-11755,2,7,2562.382,5,3,3,533,0,High Value
BS-11800,266,2,949.43,1,1,1,111,1,Loyal
BT-11305,337,5,2567.656,1,2,3,123,1,Loyal
BT-11395,303,6,2186.6130000000003,1,3,3,133,1,Loyal
BT-11440,561,4,603.876,1,1,1,111,3,Regular
BT-11485,660,2,415.196,1,1,1,111,3,Regular
BT-11530,92,5,2684.492,3,2,3,323,1,Loyal
BT-11680,21,7,3196.752,5,3,4,534,0,High Value
BV-11245,335,5,1523.273,1,2,2,122,1,Loyal
BW-11065,213,3,385.516,2,1,1,211,1,Loyal
BW-11110,122,8,4750.358,2,4,5,245,0,High Value
BW-11200,204,6,1738.406,2,3,2,232,1,Loyal
CA-11965,97,6,3789.7228,3,3,4,334,1,Loyal
CA-12055,402,5,1679.7240000000002,1,2,2,122,3,Regular
CA-12265,57,9,2648.2872,3,5,3,353,0,High Value
CA-12310,14,4,1421.954,5,1,2,512,1,Loyal
CA-12775,121,7,3041.566,2,3,4,234,0,High Value
CB-12025,48,10,6076.139,4,5,5,455,0,High Value
CB-12415,27,8,1949.2,5,4,3,543,0,High Value
CB-12535,198,8,4246.4555,2,4,4,244,0,High Value
CC-12100,458,6,1770.945,1,3,3,133,3,Regular
CC-12145,107,7,2471.65,2,3,3,233,0,High Value
CC-12220,21,12,3913.418,5,5,4,554,0,High Value
CC-12370,44,5,12129.072000000002,4,2,5,425,2,At Risk
CC-12430,1,10,2870.05,5,5,4,554,0,High Value
CC-12475,40,9,1659.438,4,5,2,452,0,High Value
CC-12550,28,3,113.832,4,1,1,411,1,Loyal
CC-12610,35,7,2540.631,4,3,3,433,0,High Value
CC-12670,30,7,2269.7015,4,3,3,433,0,High Value
CC-12685,800,4,2854.115,1,1,4,114,3,Regular
CD-11920,41,5,2033.968,4,2,3,423,1,Loyal
CD-11980,55,3,639.766,3,1,1,311,1,Loyal
CD-12280,43,2,1205.584,4,1,2,412,1,Loyal
CD-12790,400,5,1860.732,1,2,3,123,3,Regular
CG-12040,50,6,904.468,4,3,1,431,1,Loyal
CG-12520,339,3,1148.7800000000002,1,1,2,112,3,Regular
CH-12070,692,3,1537.236,1,1,2,112,3,Regular
CJ-11875,366,1,16.52,1,1,1,111,3,Regular
CJ-12010,190,8,11164.974,2,4,5,245,2,At Risk
CK-12205,40,13,3154.855,4,5,4,454,0,High Value
CK-12325,121,5,2945.321,2,2,4,224,1,Loyal
CK-12595,44,11,2372.75,4,5,3,453,0,High Value
CK-12760,83,9,1582.109,3,5,2,352,0,High Value
CL-11890,107,4,1262.014,2,1,2,212,1,Loyal
CL-12565,285,12,10880.546,1,5,5,155,2,At Risk
CL-12700,106,5,2353.586,2,2,3,223,1,Loyal
CM-11815,132,6,1673.888,2,3,2,232,1,Loyal
CM-11935,709,2,565.392,1,1,1,111,3,Regular
CM-12115,9,4,1661.61,5,1,2,512,1,Loyal
CM-12160,27,6,2533.314,5,3,3,533,1,Loyal
CM-12190,9,6,1475.144,5,3,2,532,1,Loyal
CM-12235,386,5,2305.712,1,2,3,123,3,Regular
CM-12385,38,4,8954.019999999999,4,1,5,415,2,At Risk
CM-12445,437,3,287.99,1,1,1,111,3,Regular
CM-12655,28,6,6339.5576,4,3,5,435,0,High Value
CM-12715,1036,4,3984.4524,1,1,4,114,3,Regular
CP-12085,83,8,5402.254,3,4,5,345,0,High Value
CP-12340,161,8,5888.275,2,4,5,245,0,High Value
CR-12580,58,4,2148.852,3,1,3,313,1,Loyal
CR-12625,471,3,475.9,1,1,1,111,3,Regular
CR-12730,79,4,1600.55,3,1,2,312,1,Loyal
CR-12820,86,3,1397.8724,3,1,2,312,1,Loyal
CS-11845,92,5,1278.954,3,2,2,322,1,Loyal
CS-11860,163,6,537.632,2,3,1,231,1,Loyal
CS-11950,26,11,3036.547,5,5,4,554,0,High Value
CS-12130,490,4,884.64,1,1,1,111,3,Regular
CS-12175,233,5,844.4580000000001,1,2,1,121,1,Loyal
CS-12250,27,12,2754.216,5,5,4,554,0,High Value
CS-12355,7,11,3202.1620000000003,5,5,4,554,0,High Value
CS-12400,3,9,3651.8585,5,5,4,554,0,High Value
CS-12460,28,2,550.644,4,1,1,411,1,Loyal
CS-12490,425,4,1077.2285,1,1,2,112,3,Regular
CS-12505,59,6,5690.054999999999,3,3,5,335,0,High Value
CT-11995,97,8,3241.898,3,4,4,344,0,High Value
CV-12295,255,5,2830.628,1,2,4,124,1,Loyal
CV-12805,6,9,2370.3136,5,5,3,553,0,High Value
CW-11905,23,6,1136.592,5,3,2,532,1,Loyal
CY-12745,61,8,2900.026,3,4,4,344,0,High Value
Co-12640,550,5,1300.076,1,2,2,122,3,Regular
DA-13450,353,4,156.76,1,1,1,111,3,Regular
DB-12910,22,8,2171.599,5,4,3,543,0,High Value
DB-12970,242,5,2839.2272,1,2,4,124,1,Loyal
DB-13060,17,7,4531.646,5,3,5,535,0,High Value
DB-13120,49,7,2973.094,4,3,4,434,0,High Value
DB-13210,10,10,2332.577,5,5,3,553,0,High Value
DB-13270,54,8,4655.897,4,4,5,445,0,High Value
DB-13360,265,5,1081.466,1,2,2,122,1,Loyal
DB-13405,188,4,1711.692,2,1,2,212,1,Loyal
DB-13555,108,7,3908.8028,2,3,4,234,0,High Value
DB-13615,34,7,1989.05,4,3,3,433,0,High Value
DB-13660,13,7,1155.202,5,3,2,532,1,Loyal
DC-12850,38,9,3336.168,4,5,4,454,0,High Value
DC-13285,24,5,1174.618,5,2,2,522,1,Loyal
DD-13570,42,6,269.542,4,3,1,431,1,Loyal
DE-13255,720,5,2550.874,1,2,3,123,3,Regular
DF-13135,701,3,2390.534,1,1,3,113,3,Regular
DG-13300,33,5,3195.818,4,2,4,424,1,Loyal
DH-13075,278,6,4932.872,1,3,5,135,0,High Value
DH-13675,777,4,1043.096,1,1,2,112,3,Regular
DJ-13420,638,4,2012.52,1,1,3,113,3,Regular
DJ-13510,49,8,2501.688,4,4,3,443,0,High Value
DJ-13630,13,3,3356.398,5,1,4,514,1,Loyal
DK-12835,22,12,3256.48,5,5,4,554,0,High Value
DK-12895,46,5,4282.176,4,2,4,424,1,Loyal
DK-12985,8,5,1687.04,5,2,2,522,1,Loyal
DK-13090,43,7,2650.557,4,3,3,433,0,High Value
DK-13150,11,2,797.832,5,1,1,511,1,Loyal
DK-13225,11,9,4802.394,5,5,5,555,0,High Value
DK-13375,20,8,3318.486,5,4,4,544,0,High Value
DL-12865,101,8,1503.112,3,4,2,342,0,High Value
DL-12925,58,6,3272.2,3,3,4,334,1,Loyal
DL-13315,23,8,1458.258,5,4,2,542,0,High Value
DL-13330,58,4,585.02,3,1,1,311,1,Loyal
DL-13495,77,8,3539.322,3,4,4,344,0,High Value
DM-12955,115,7,1322.034,2,3,2,232,1,Loyal
DM-13015,58,7,6345.103,3,3,5,335,0,High Value
DM-13345,23,8,4074.472,5,4,4,544,0,High Value
DM-13525,482,3,1376.792,1,1,2,112,3,Regular
DN-13690,218,7,2139.79,2,3,3,233,0,High Value
DO-13435,134,9,1300.0315,2,5,2,252,0,High Value
DO-13645,27,7,1267.316,5,3,2,532,1,Loyal
DP-13000,127,9,1050.636,2,5,2,252,0,High Value
DP-13105,7,8,2215.002,5,4,3,543,0,High Value
DP-13165,813,2,1058.616,1,1,2,112,3,Regular
DP-13390,359,9,5480.723999999999,1,5,5,155,0,High Value
DR-12880,4,9,6528.034000000001,5,5,5,555,0,High Value
DR-12940,51,8,8350.868,4,4,5,445,2,At Risk
DS-13030,94,4,1762.213,3,1,3,313,1,Loyal
DS-13180,24,9,2881.8128,5,5,4,554,0,High Value
DV-13045,20,5,1119.483,5,2,2,522,1,Loyal
DV-13465,30,6,3341.587,4,3,4,434,1,Loyal
DW-13195,70,6,1080.751,3,3,2,332,1,Loyal
DW-13480,218,5,5271.628,2,2,5,225,1,Loyal
DW-13540,99,5,344.08,3,2,1,321,1,Loyal
DW-13585,243,7,1204.854,1,3,2,132,1,Loyal
Dl-13600,120,5,755.602,2,2,1,221,1,Loyal
Dp-13240,85,11,7198.761,3,5,5,355,2,At Risk
EA-14035,153,13,2846.705,2,5,4,254,0,High Value
EB-13705,49,9,3644.978,4,5,4,454,0,High Value
EB-13750,36,10,3236.314,4,5,4,454,0,High Value
EB-13840,91,5,4358.128,3,2,5,325,1,Loyal
EB-13870,101,10,2767.219,3,5,4,354,0,High Value
EB-13930,162,5,944.6,2,2,1,221,1,Loyal
EB-13975,1,4,1643.255,5,1,2,512,1,Loyal
EB-14110,114,6,3071.126,2,3,4,234,1,Loyal
EB-14170,83,6,1186.326,3,3,2,332,1,Loyal
EC-14050,54,5,461.914,4,2,1,421,1,Loyal
ED-13885,136,8,3484.92,2,4,4,244,0,High Value
EG-13900,23,5,1832.02,5,2,3,523,1,Loyal
EH-13765,136,12,10310.88,2,5,5,255,2,At Risk
EH-13945,218,8,684.1709999999999,2,4,1,241,0,High Value
EH-13990,406,6,825.9499999999999,1,3,1,131,3,Regular
EH-14005,3,7,1219.53,5,3,2,532,1,Loyal
EH-14125,153,10,3082.653,2,5,4,254,0,High Value
EH-14185,106,6,923.884,2,3,1,231,1,Loyal
EJ-13720,303,4,2162.174,1,1,3,113,1,Loyal
EJ-14155,58,5,2656.691,3,2,3,323,1,Loyal
EK-13795,45,4,1303.478,4,1,2,412,1,Loyal
EL-13735,78,2,124.28,3,1,1,311,1,Loyal
EM-13810,133,5,2567.01,2,2,3,223,1,Loyal
EM-13825,56,8,2339.598,3,4,3,343,0,High Value
EM-13960,152,5,933.704,2,2,1,221,1,Loyal
EM-14065,48,4,228.99,4,1,1,411,1,Loyal
EM-14095,114,4,1041.042,2,1,2,212,1,Loyal
EM-14140,49,6,4588.436000000001,4,3,5,435,0,High Value
EM-14200,159,3,366.822,2,1,1,211,1,Loyal
EN-13780,288,4,2199.366,1,1,3,113,1,Loyal
EP-13915,13,17,5478.0608,5,5,5,555,0,High Value
ER-13855,422,3,1245.788,1,1,2,112,3,Regular
ES-14020,41,5,3510.458,4,2,4,424,1,Loyal
ES-14080,29,9,4657.924,4,5,5,455,0,High Value
FA-14230,98,7,2984.054,3,3,4,334,0,High Value
FC-14245,71,7,3418.742,3,3,4,334,0,High Value
FC-14335,185,7,3889.366,2,3,4,234,0,High Value
FG-14260,35,7,1383.144,4,3,2,432,0,High Value
FH-14275,38,10,4256.272,4,5,4,454,0,High Value
FH-14350,213,4,2271.284,2,1,3,213,1,Loyal
FH-14365,6,8,6987.196,5,4,5,545,2,At Risk
FM-14215,8,10,2456.638,5,5,3,553,0,High Value
FM-14290,37,9,3736.198,4,5,4,454,0,High Value
FM-14380,146,9,2523.266,2,5,3,253,0,High Value
FO-14305,39,10,2678.438,4,5,3,453,0,High Value
FP-14320,24,8,4046.746,5,4,4,544,0,High Value
FW-14395,363,3,79.75,1,1,1,111,3,Regular
GA-14515,150,8,3919.776,2,4,4,244,0,High Value
GA-14725,6,11,1398.382,5,5,2,552,0,High Value
GB-14530,63,11,1568.44,3,5,2,352,0,High Value
GB-14575,14,5,4716.288,5,2,5,525,1,Loyal
GD-14590,6,4,1888.07,5,1,3,513,1,Loyal
GG-14650,44,9,2224.0,4,5,3,453,0,High Value
GH-14410,76,9,2819.467,3,5,4,354,0,High Value
GH-14425,51,4,4172.8460000000005,4,1,4,414,1,Loyal
GH-14485,388,2,1361.244,1,1,2,112,3,Regular
GH-14665,3,2,146.94080000000002,5,1,1,511,1,Loyal
GK-14620,113,9,6497.27,2,5,5,255,2,At Risk
GM-14440,84,7,3582.82,3,3,4,334,0,High Value
GM-14455,17,6,3078.624,5,3,4,534,1,Loyal
GM-14500,107,10,1255.682,2,5,2,252,0,High Value
GM-14680,153,6,3163.628,2,3,4,234,1,Loyal
GM-14695,118,3,6049.966,2,1,5,215,1,Loyal
GP-14740,766,2,236.53,1,1,1,111,3,Regular
GR-14560,1136,2,1284.38,1,1,2,112,3,Regular
GT-14635,57,3,9351.212,3,1,5,315,2,At Risk
GT-14710,37,11,11820.12,4,5,5,455,2,At Risk
GT-14755,35,4,226.436,4,1,1,411,1,Loyal
GW-14605,29,7,2189.019,4,3,3,433,0,High Value
GZ-14470,8,9,4355.150000000001,5,5,5,555,0,High Value
GZ-14545,158,4,2454.6220000000003,2,1,3,213,1,Loyal
HA-14905,70,7,2163.3,3,3,3,333,0,High Value
HA-14920,21,8,2584.158,5,4,3,543,0,High Value
HD-14785,770,3,251.36,1,1,1,111,3,Regular
HE-14800,13,4,883.5319999999999,5,1,1,511,1,Loyal
HF-14995,22,7,2533.164,5,4,3,543,0,High Value
HG-14845,55,5,785.628,3,2,1,321,1,Loyal
HG-14965,24,12,3247.642,5,5,4,554,0,High Value
HG-15025,7,7,3690.284,5,4,4,544,0,High Value
HH-15010,73,2,218.668,3,1,1,311,1,Loyal
HJ-14875,127,5,358.1,2,2,1,221,1,Loyal
HK-14890,152,8,4877.784,2,4,5,245,0,High Value
HL-15040,44,6,12873.298,4,3,5,435,2,At Risk
HM-14860,3,10,8236.7648,5,5,5,555,2,At Risk
HM-14980,248,4,736.276,1,1,1,111,1,Loyal
HP-14815,31,7,1990.314,4,4,3,443,0,High Value
HR-14770,14,5,1299.288,5,2,2,522,1,Loyal
HR-14830,160,7,5248.787,2,4,5,245,0,High Value
HW-14935,118,8,9300.254,2,4,5,245,2,At Risk
HZ-14950,36,5,886.52,4,2,1,421,1,Loyal
IG-15085,72,4,744.574,3,1,1,311,1,Loyal
IL-15100,143,7,5040.736,2,4,5,245,0,High Value
IM-15055,410,3,2872.63,1,1,4,114,3,Regular
IM-15070,391,7,4930.474,1,4,5,145,0,High Value
JA-15970,93,8,6491.026,3,4,5,345,2,At Risk
JB-15400,8,10,1791.605,5,5,3,553,0,High Value
JB-15925,738,3,900.552,1,1,1,111,3,Regular
JB-16000,44,7,644.1188,4,4,1,441,1,Loyal
JB-16045,8,5,2518.115,5,2,3,523,1,Loyal
JC-15340,115,4,71.263,2,1,1,211,1,Loyal
JC-15385,176,1,1058.108,2,1,2,212,1,Loyal
JC-15775,159,9,2772.055,2,5,4,254,0,High Value
JC-16105,58,5,858.576,3,2,1,321,1,Loyal
JD-15790,118,5,2152.352,2,2,3,223,1,Loyal
JD-15895,395,11,7610.864,1,5,5,155,2,At Risk
JD-16015,113,6,385.43,2,3,1,231,1,Loyal
JD-16060,301,3,695.442,1,1,1,111,1,Loyal
JD-16150,42,8,8828.0305,4,4,5,445,2,At Risk
JE-15475,194,6,1388.682,2,3,2,232,1,Loyal
JE-15610,49,7,7754.976,4,4,5,445,2,At Risk
JE-15715,47,10,8697.842999999999,4,5,5,455,2,At Risk
JE-15745,52,13,6760.8150000000005,4,5,5,455,2,At Risk
JE-16165,21,3,2697.248,5,1,3,513,1,Loyal
JF-15190,66,7,2279.586,3,4,3,343,0,High Value
JF-15295,226,5,955.124,1,2,1,121,1,Loyal
JF-15355,106,6,1911.844,2,3,3,233,1,Loyal
JF-15415,3,6,2371.448,5,3,3,533,1,Loyal
JF-15490,122,11,1082.918,2,5,2,252,0,High Value
JF-15565,55,8,4198.332,3,4,4,344,0,High Value
JG-15115,759,3,2358.676,1,1,3,113,3,Regular
JG-15160,2,11,6366.392,5,5,5,555,0,High Value
JG-15310,3,6,2240.58,5,3,3,533,1,Loyal
JG-15805,224,6,1507.018,2,3,2,232,1,Loyal
JH-15430,6,4,309.281,5,1,1,511,1,Loyal
JH-15820,175,6,528.91,2,3,1,231,1,Loyal
JH-15910,42,7,959.477,4,4,1,441,1,Loyal
JH-15985,30,6,7954.998,4,3,5,435,2,At Risk
JH-16180,405,4,2256.394,1,1,3,113,3,Regular
JJ-15445,484,5,709.178,1,2,1,121,3,Regular
JJ-15760,754,2,195.0,1,1,1,111,3,Regular
JK-15205,62,5,4427.142,3,2,5,325,1,Loyal
JK-15325,288,3,383.812,1,1,1,111,1,Loyal
JK-15370,45,8,2709.632,4,4,3,443,0,High Value
JK-15625,62,7,3760.028,3,4,4,344,0,High Value
JK-15640,181,9,4760.434,2,5,5,255,0,High Value
JK-15730,85,10,4867.2,3,5,5,355,0,High Value
JK-16090,29,3,3747.668,4,1,4,414,1,Loyal
JK-16120,118,10,2932.484,2,5,4,254,0,High Value
JL-15130,9,6,1214.956,5,3,2,532,1,Loyal
JL-15175,7,5,1571.523,5,2,2,522,1,Loyal
JL-15235,120,5,2203.7,2,2,3,223,1,Loyal
JL-15505,50,6,3173.874,4,3,4,434,1,Loyal
JL-15835,22,11,9799.923,5,5,5,555,2,At Risk
JL-15850,615,6,2725.256,1,3,3,133,3,Regular
JM-15250,38,6,3159.1220000000003,4,3,4,434,1,Loyal
JM-15265,38,5,1804.146,4,2,3,423,1,Loyal
JM-15535,103,7,1733.443,3,4,2,342,0,High Value
JM-15580,1,5,303.948,5,2,1,521,1,Loyal
JM-15655,9,5,864.947,5,2,1,521,1,Loyal
JM-15865,110,7,7625.076000000001,2,4,5,245,2,At Risk
